merger,error_of_value,error_thermal,error_renewable,error_nsp,error_1_to_2,error_1_to_3,error_2_to_1,error_2_to_3,error_3_to_1,error_3_to_2,rel_error_of_value,rel_error_thermal,rel_error_renewable,rel_error_nsp,rel_error_1_to_2,rel_error_1_to_3,rel_error_2_to_1,rel_error_2_to_3,rel_error_3_to_1,rel_error_3_to_2
"['1', '2', '3', '4', '5', '6', '7', '8']",1.6689300537109375e-06,6.51925802230835e-09,-6.984919309616089e-10,8.731149137020111e-11,0.0,0.0,-1.0244548320770264e-08,0.0,-2.3283064365386963e-10,-5.238689482212067e-10,1.7763568394002505e-15,2.7755575615628914e-15,-6.661338147750939e-16,5.551115123125783e-16,0.0,0.0,-3.774758283725532e-15,0.0,-2.220446049250313e-16,-1.3322676295501878e-15
"['1', '2', '3', '4', '5', '6', '7+8']",69229048.6917038,-6701.809057992883,-7180.0000000006985,13881.809058000072,0.0,0.0,31048.190941989888,0.0,-44930.000000000466,37749.999999999476,0.07535193014873753,-0.0028503061884910252,-0.005848265103522099,0.0808744655553102,0.0,0.0,0.011296655438978398,0.0,-0.05409779875157872,0.0950446719905429
"['1', '2', '3', '4', '5', '6+7', '8']",223721742.0000018,-37749.99999999348,-7180.0000000006985,44930.00000000012,0.0,0.0,-1.0244548320770264e-08,0.0,-44930.00000000023,37749.999999999476,0.24350854727198068,-0.01605522593741915,-0.005848265103522099,0.2617590922204772,0.0,0.0,-3.774758283725532e-15,0.0,-0.054097798751578274,0.0950446719905429
"['1', '2', '3', '4', '5', '6+7+8']",663760387.5254806,-126183.98089299304,-7180.000000000931,133363.98089300015,0.0,0.0,-88433.98089300981,0.0,-44930.00000000058,37749.999999999476,0.7224658911471171,-0.05366655160053857,-0.005848265103522321,0.7769693873461095,0.0,0.0,-0.03217605216072239,0.0,-0.05409779875157872,0.0950446719905429
"['1', '2', '3', '4', '5', '6+8', '7']",594531338.8337784,-119482.17183499364,-6.984919309616089e-10,119482.17183500016,0.0,0.0,-119482.1718350104,0.0,-4.656612873077393e-10,-5.238689482212067e-10,0.6471139609983814,-0.05081624541204488,-6.661338147750939e-16,0.6960949217907998,0.0,0.0,-0.04347270759970456,0.0,-6.661338147750939e-16,-1.3322676295501878e-15
"['1', '2', '3', '4', '5+6', '7', '8']",313512880.0000026,-63004.99999999348,-6.984919309616089e-10,63005.00000000029,0.0,0.0,-1.0244548320770264e-08,0.0,-63005.00000000023,63004.999999999476,0.34124115643554587,-0.026796278415553987,-6.661338147750939e-16,0.3670628000300735,0.0,0.0,-3.774758283725532e-15,0.0,-0.07586093501765401,0.15863018698713083
"['1', '2', '3', '4', '5+6', '7+8']",382741928.69170475,-69706.80905799288,-7180.0000000006985,76886.80905800029,0.0,0.0,31048.190941989888,0.0,-107935.00000000047,100754.99999999948,0.4165930865842815,-0.0296465846040479,-0.005848265103522099,0.44793726558538327,0.0,0.0,0.011296655438978398,0.0,-0.12995873376923228,0.25367485897767517
"['1', '2', '3', '4', '5+6+7', '8']",537234622.0000019,-100754.99999999348,-7180.0000000006985,107935.00000000017,0.0,0.0,-1.0244548320770264e-08,0.0,-107935.00000000035,100754.99999999948,0.5847497037075238,-0.04285150435297602,-0.005848265103522099,0.6288218922505494,0.0,0.0,-3.774758283725532e-15,0.0,-0.12995873376923206,0.25367485897767517
"['1', '2', '3', '4', '5+6+7+8']",854256066.1133235,-164466.3776629935,-7180.0000000006985,171646.37766300014,0.0,0.0,-63711.377663010266,0.0,-107935.00000000035,100754.99999999948,0.9298097350660304,-0.06994820801294632,-0.005848265103522099,1.0,0.0,0.0,-0.023180915189112916,0.0,-0.12995873376923206,0.25367485897767517
"['1', '2', '3', '4', '5+6+8', '7']",785027017.4216213,-157764.56860499363,-6.984919309616089e-10,157764.56860500015,0.0,0.0,-94759.5686050104,0.0,-63005.00000000035,63004.999999999476,0.8544578049172946,-0.06709790182445219,-6.661338147750939e-16,0.9191255344446903,0.0,0.0,-0.03447757062809509,0.0,-0.07586093501765401,0.15863018698713083
